number of threads;calculate time
41.9881
154.55
32.0795
28.1939
25.9627
26.1384
24.9866
26.3949
25.3741
25.9835
29.0652
26.1465
27.1301
26.1835
27.2722
28.0083
30.7309
26.5873
29.0881
25.6363
25.7487
25.1126
25.3584
25.1615
25.1585
25.2695
25.2041
25.1084
24.7011
24.7613
25.1779
24.8137
28.7275
26.6296
25.9187
25.6825
26.1172
25.8958
25.3881
27.774
26.942
25.5774
25.7456
26.8314
25.7327
24.8352
25.6259
30.5296
28.4403
27.2743
27.7996
25.3616
26.6958
30.0397
29.321
25.1556
25.3892
25.4235
25.1016
24.6181
25.2017
25.0654
25.4611
26.3654
24.3268
24.6363
25.599
27.6048
29.7018
28.5353
27.2956
25.4849
26.7715
26.8992
26.606
26.3901
25.6972
26.5979
26.7911
25.2996
26.5174
27.2624
25.1468
27.3295
26.3376
25.4455
25.6087
25.4736
25.1679
25.4715
25.5602
25.1006
25.9426
25.3386
24.6184
26.864
25.89
26.7514
25.566
25.4573
25.2738
25.4385
25.888
26.0921
25.3971
25.5575
24.3632
